브랜드명,제품명,에너지,수분,단백질,지방,탄수화물,인,칼슘,칼륨,마그네슘,나트륨,비타민A,비타민D,비타민E,비타민B군,오메가3,오메가6,기타필수지방산,타우린
몬지,벳솔루션레날옥살레이트,123,75.4,27.64,29.67,,0.37,1.02,0.69,0.08,0.33,,195.71,,,0.5,10.9,,
로얄캐닌,레날파우치-치킨,118,77,34.78,34.78,21.74,0.37,0.61,0.87,0.07,0.48,,,,,,,,
로얄캐닌,레날파우치-참치,94.3,80,33,30,24.5,0.4,0.6,0.75,0.08,0.4,,,,,,,,0.45
로얄캐닌,레날캔,106.2,99.77477477477477,33.3,28.9,24.4,0.4,0.7,0.9,,0.4,,200,"998
(IU/KG)",,0.7,10.2,,
힐스,k/d,113.46153846153845,,30,23,38.9,0.49,0.85,1.11,0.055,0.24,,,,,1.03,3.81,,
힐스,k/d치킨야채스튜​,85.36585365853658,,30,24.6,38,0.49,0.77,1.05,0.059,0.23,,,748,,1.1,,,0.41
스펙시픽,FKW키드니서포트,158,70.4,33.45,42.23,14.19,0.51,0.61,1.42,0.05,0.2,,,,,3.20945945945946,12.83783783783784,,405.4054054054054
로얄캐닌,"레날리퀴드,액상타입의유동식",108,85,46.67,36.67,44,0.53,0.67,1.33,,0.53,,,,,,,,
힐스,k/d얼리서포트(치킨야채쌀스튜​),96.34146341463415,,34.1,24.1,34.5,0.59,0.89,0.94,0.06,0.27,,,"688
(IU/kg)",,1.27,3.71,,0.51
애니몬다,인테그라프로텍트NIEREN신장질환-연어,129.007597114054,77,25.22,52.17,10.43,0.7,0.91,0.48,,0.74,3000 IE,,,,,,,
애니몬다,인테그라프로텍트NIEREN신장질환-치킨,126.618567537868,77,33.91,45.65,10.87,0.7,0.96,0.74,,0.74,,,,,,,,
애니몬다,인테그라프로텍트NIEREN신장질환-칠면조,126.618567537868,77,33.91,45.65,10.87,0.7,0.96,0.74,,0.74,,,,,,,,
블루버팔로,K+M키드니+모빌리티서포트그레인프리,,78,20.45,13.64,,0.36,0.55,,,0.23,,,,,,,,
힐스,k/d참치,,,29,22.1,41.7,0.45,0.76,1.08,0.057,0.24,,,,,,,,
힐스,k/d+Mobility치킨야채스튜,,,29.6,24.9,37.9,0.48,0.89,1.05,0.06,0.24,,,,,,,,
힐스,k/d야채참치,,,30,24.8,37.4,0.49,0.82,1.05,0.065,0.24,,,,,,,,
퓨리나프로플랜,NK키드니,,77,26.09,17.39,32.61,0.52,0.61,,,0.44,,,,,,,,
세니메드,레날파우치-치킨,,73,28.89,37.78,,0.59,0.67,1.44,,0.37,,,,,,,,
카토빗,레날파우치-소고기/치킨/칠면조,,80,30,27.5,,0.6,0.9,1.25,0.1,0.75,,,,,,,,
트로벳,RID레날옥살레이트캔-치킨,,77,33.04,34.78,23.48,0.61,0.96,1,,0.35,,,,,,,,
트로벳,RID레날옥살레이트캔-양고기,,77,33.04,35.22,23.91,0.61,0.91,1.04,,0.35,,,,,,,,
트로벳,RID레날캔-사슴,,79,40.48,28.57,12.86,0.62,0.95,0.86,,0.86,,,,,,,,
트로벳,RID레날옥살레이트파우치-치킨,,78,29.55,27.27,35.45,0.68,0.86,0.91,,0.68,,,,,,,,
포르자10,레날-양고기,,82,33.33,25,,0.72,,,,0.33,,,,,,,,
카토빗,레날캔-양고기/피쉬,,77,34.78,43.48,,0.78,0.96,0.96,0.09,0.35,,,,,,,,
카토빗,레날캔-치킨,,77,34.78,43.48,,0.78,0.96,0.96,0.09,0.35,,,,,,,,
퓨리나프로플랜,NK키드니얼리케어,,77,28.26,13.04,34.78,0.91,0.61,,,,,,,,,,,
​​카토빗,"레날드링크,액상타입",,96,47.5,12.5,,3.75,0.25,,,,,,,,,,,